path,label,label_name,source,split
dataset/concrete-crack-images-for-classification-mendeley/Negative/19985.jpg,0,normal,mendeley_concrete_crack,val
dataset/concrete-crack-images-for-classification-mendeley/Negative/19845.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/01100.jpg,0,normal,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Negative/16898.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/05674.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/01150.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/19555.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/17153_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/11287.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/03696.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/16110_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/18941_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/08043.jpg,1,crack,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Positive/09272.jpg,1,crack,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Positive/03884.jpg,1,crack,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Positive/15192_1.jpg,1,crack,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Negative/08333.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/09036.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/13953_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/13104_1.jpg,1,crack,mendeley_concrete_crack,val
dataset/concrete-crack-images-for-classification-mendeley/Positive/19786.jpg,1,crack,mendeley_concrete_crack,val
dataset/concrete-crack-images-for-classification-mendeley/Positive/11213_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/09055.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/03964.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/12384_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/02424.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/02530.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/04266.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/18786.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/14319_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/13704_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/11733_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/10678.jpg,0,normal,mendeley_concrete_crack,val
dataset/concrete-crack-images-for-classification-mendeley/Negative/18829.jpg,0,normal,mendeley_concrete_crack,val
dataset/concrete-crack-images-for-classification-mendeley/Positive/19492.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/15706_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/13114_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/11228_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/18732.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Negative/13558.jpg,0,normal,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/18437_1.jpg,1,crack,mendeley_concrete_crack,train
dataset/concrete-crack-images-for-classification-mendeley/Positive/06445.jpg,1,crack,mendeley_concrete_crack,test
dataset/concrete-crack-images-for-classification-mendeley/Positive/00927.jpg,1,crack,mendeley_concrete_crack,test
