group_id,split,label,canonical_path,sha256,phash_hex,exact_duplicate_count,exact_duplicate_paths
g_000000,val,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/19985.jpg,0001837fa4aa3cc6e1cd526dd85a1f43cf7e308103a2f69374c29f55f642d234,c587fc188a6067f7,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/19985.jpg
g_000001,train,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/19845.jpg,0001f9b367d9d943d81cb8721ab6134557d48565d3906e4135d06b6048d234c9,8132fd8f12b8b62f,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/19845.jpg
g_000002,test,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/01100.jpg,00042d09b062b0faa7781dfd27d9fe72b17821b194304cc61e9ab440fd3ed122,b5e46f226027e3bc,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/01100.jpg
g_000003,train,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/16898.jpg,00045926449b1f61839d7288646fe345dd927fc82f93795cb69c91d7346e883c,c69c2be778a92713,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/16898.jpg
g_000003,train,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/05674.jpg,b070b90779acaa1bcf3338b650513396f5066cd66d1a0068f03fdcc25581bde7,c69c2be778a92713,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/05674.jpg
g_000004,train,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/01150.jpg,00059d442d8bf0780f53349b492e92a5354b37c2a01126629665f18502f295fa,debb2165b7b25601,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/01150.jpg
g_000005,train,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/19555.jpg,000a4e0942c82ed019e61250f2a96efe7a378643827e65f498df46ef172bb0c1,8ef1810ee0997fe6,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/19555.jpg
g_000005,train,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/17153_1.jpg,dc51bb3eb130087a7b42657caa4b44036c08432fcc03012b4f0be5e4a686ce5e,8ef1810ee0997fe6,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/17153_1.jpg
g_000006,train,0,dataset/concrete-crack-images-for-classification-mendeley/Negative/11287.jpg,000da5d2357cc6e77735d24203669d0b1f6d066dff7bf8159f1d9dab556bbdde,f222c3f76b2c1f05,1,dataset/concrete-crack-images-for-classification-mendeley/Negative/11287.jpg
g_000007,train,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/03696.jpg,001020e04987648e6c4614729fe7080511c92fcbb26851fcc776f5f670142ad2,b28cc2b17cbe4f83,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/03696.jpg
g_000008,train,1,dataset/concrete-crack-images-for-classification-mendeley/Positive/16110_1.jpg,0010ff207b1b290df8abfa999d8ea0f7314cd62b27c721e2ce30093e4f55b5d2,c6a3e5163afc8527,2,dataset/concrete-crack-images-for-classification-mendeley/Positive/16110_1.jpg|dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_157.jpg
