path,paired_image_path,label,label_name,source,split
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_754.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_754.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_69.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_69.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1328.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1328.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_800.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_800.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2099.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2099.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_418.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_418.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2243.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2243.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2022.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2022.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1317.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1317.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_58.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_58.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_240.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_240.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_646.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_646.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_611.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_611.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_468.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_468.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2212.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2212.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_748.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_748.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_141.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_141.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1699.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1699.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1814.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1814.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_971.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_971.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1662.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1662.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2950.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2950.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_559.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_559.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2209.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2209.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1750.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1750.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2002.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2002.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1581.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1581.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_486.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_486.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1040.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1040.jpg,0,normal,multimodal_concrete_crack_audio,val
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_56.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_56.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1158.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1158.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_559.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_559.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_123.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_123.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2814.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2814.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1085.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1085.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_194.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_194.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_669.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_669.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,val
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2171.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2171.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_1223.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_1223.jpg,0,normal,multimodal_concrete_crack_audio,val
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_836.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_836.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,val
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_301.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_301.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_375.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_375.jpg,0,normal,multimodal_concrete_crack_audio,test
dataset/multimodal-concrete-crack-detection-dataset/audio/negative/neg_audio_2201.wav,dataset/multimodal-concrete-crack-detection-dataset/image/negative/neg_img_2201.jpg,0,normal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_382.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_382.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,train
dataset/multimodal-concrete-crack-detection-dataset/audio/positive/pos_audio_187.wav,dataset/multimodal-concrete-crack-detection-dataset/image/positive/pos_img_187.jpg,1,acoustic_abnormal,multimodal_concrete_crack_audio,test
