path,filename,split,source,storage_class,parent_group,damage,Background,Crack,Spallation,Efflorescence,ExposedBars,CorrosionStain,sha256
dataset/codebrim/classification_dataset/test/background/image_0000018_crop_0000001.png,image_0000018_crop_0000001.png,test,codebrim,background,image_0000018,0,1,0,0,0,0,0,0e9a4bec9218fbc5b7511d272f2fba44240771410396fcbd0e350d096d38eff8
dataset/codebrim/classification_dataset/test/background/image_0000018_crop_0000002.png,image_0000018_crop_0000002.png,test,codebrim,background,image_0000018,0,1,0,0,0,0,0,1c1a7cc81f2c2f66426e0c60a8a753fa8d4878b199750aa41a9f65d8af1f0917
dataset/codebrim/classification_dataset/test/background/image_0000018_crop_0000003.png,image_0000018_crop_0000003.png,test,codebrim,background,image_0000018,0,1,0,0,0,0,0,a8b914e6d9cbc8acc5346db257431cee343a9908cdd0bf5749c3aa2325cbf131
dataset/codebrim/classification_dataset/test/background/image_0000018_crop_0000004.png,image_0000018_crop_0000004.png,test,codebrim,background,image_0000018,0,1,0,0,0,0,0,13bc5c19dfc99fe7c8f8eae9f6747df095b82a061bf505f255904d6218788746
dataset/codebrim/classification_dataset/test/background/image_0000018_crop_0000005.png,image_0000018_crop_0000005.png,test,codebrim,background,image_0000018,0,1,0,0,0,0,0,4e224b2f5bc67b613563022417b7d954c5f348903db35c99dfdb1350b741dae4
dataset/codebrim/classification_dataset/test/background/image_0000038_crop_0000001.png,image_0000038_crop_0000001.png,test,codebrim,background,image_0000038,0,1,0,0,0,0,0,08c9c9fb68d69efa98f5f6998c32e2d528fd04dc1cba38a4e2b9e48e4ae3c97f
dataset/codebrim/classification_dataset/test/background/image_0000038_crop_0000002.png,image_0000038_crop_0000002.png,test,codebrim,background,image_0000038,0,1,0,0,0,0,0,a8a52d75fdcace51e75174281b7bc194fbbe20a311f36447673b665a19d17b6d
dataset/codebrim/classification_dataset/test/background/image_0000038_crop_0000003.png,image_0000038_crop_0000003.png,test,codebrim,background,image_0000038,0,1,0,0,0,0,0,a6e0b47803909477082ad1a132c3b7068485ffc45c502c8cc419565643ca9f51
dataset/codebrim/classification_dataset/test/background/image_0000038_crop_0000004.png,image_0000038_crop_0000004.png,test,codebrim,background,image_0000038,0,1,0,0,0,0,0,977318362b9012dace4e3a8b2be9b251d432d32f1a8b95574edb42414acbf809
dataset/codebrim/classification_dataset/test/background/image_0000038_crop_0000005.png,image_0000038_crop_0000005.png,test,codebrim,background,image_0000038,0,1,0,0,0,0,0,92bf521e78c37a549c962ba81d7f3f54347aaeeabcffbc813d6a559eeae149a1
dataset/codebrim/classification_dataset/test/background/image_0000043_crop_0000001.png,image_0000043_crop_0000001.png,test,codebrim,background,image_0000043,0,1,0,0,0,0,0,08cfed4422358fd09b4063b00d8a9b4c6c1319b38a8b3d4ada99b7392803789c
dataset/codebrim/classification_dataset/test/background/image_0000043_crop_0000002.png,image_0000043_crop_0000002.png,test,codebrim,background,image_0000043,0,1,0,0,0,0,0,26128e45cc5474ddc1b32c58439e58e01c30cabff532974036a649fefd45403d
dataset/codebrim/classification_dataset/test/background/image_0000043_crop_0000003.png,image_0000043_crop_0000003.png,test,codebrim,background,image_0000043,0,1,0,0,0,0,0,9c4e86fc9671b46bd9e1e94fbd488143bf465cccb65945dbacafae66e6a2b6c1
