path,filename,split,storage_class,parent_group,action,reason
dataset/codebrim/classification_dataset/train/defects/image_0000987_crop_0000045.png,image_0000987_crop_0000045.png,train,defects,image_0000987,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001051_crop_0000011.png,image_0001051_crop_0000011.png,train,defects,image_0001051,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001063_crop_0000014.png,image_0001063_crop_0000014.png,train,defects,image_0001063,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001093_crop_0000003.png,image_0001093_crop_0000003.png,train,defects,image_0001093,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001124_crop_0000004.png,image_0001124_crop_0000004.png,train,defects,image_0001124,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001138_crop_0000005.png,image_0001138_crop_0000005.png,train,defects,image_0001138,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001148_crop_0000005.png,image_0001148_crop_0000005.png,train,defects,image_0001148,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001152_crop_0000001.png,image_0001152_crop_0000001.png,train,defects,image_0001152,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001153_crop_0000005.png,image_0001153_crop_0000005.png,train,defects,image_0001153,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001153_crop_0000007.png,image_0001153_crop_0000007.png,train,defects,image_0001153,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001153_crop_0000008.png,image_0001153_crop_0000008.png,train,defects,image_0001153,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001161_crop_0000001.png,image_0001161_crop_0000001.png,train,defects,image_0001161,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001172_crop_0000002.png,image_0001172_crop_0000002.png,train,defects,image_0001172,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001195_crop_0000012.png,image_0001195_crop_0000012.png,train,defects,image_0001195,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001224_crop_0000003.png,image_0001224_crop_0000003.png,train,defects,image_0001224,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001226_crop_0000011.png,image_0001226_crop_0000011.png,train,defects,image_0001226,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001226_crop_0000013.png,image_0001226_crop_0000013.png,train,defects,image_0001226,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001266_crop_0000018.png,image_0001266_crop_0000018.png,train,defects,image_0001266,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001283_crop_0000001.png,image_0001283_crop_0000001.png,train,defects,image_0001283,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001289_crop_0000017.png,image_0001289_crop_0000017.png,train,defects,image_0001289,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001292_crop_0000003.png,image_0001292_crop_0000003.png,train,defects,image_0001292,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001354_crop_0000002.png,image_0001354_crop_0000002.png,train,defects,image_0001354,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001354_crop_0000003.png,image_0001354_crop_0000003.png,train,defects,image_0001354,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001384_crop_0000002.png,image_0001384_crop_0000002.png,train,defects,image_0001384,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001396_crop_0000004.png,image_0001396_crop_0000004.png,train,defects,image_0001396,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001396_crop_0000005.png,image_0001396_crop_0000005.png,train,defects,image_0001396,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001403_crop_0000006.png,image_0001403_crop_0000006.png,train,defects,image_0001403,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001415_crop_0000006.png,image_0001415_crop_0000006.png,train,defects,image_0001415,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001424_crop_0000006.png,image_0001424_crop_0000006.png,train,defects,image_0001424,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001491_crop_0000003.png,image_0001491_crop_0000003.png,train,defects,image_0001491,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001506_crop_0000015.png,image_0001506_crop_0000015.png,train,defects,image_0001506,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001514_crop_0000007.png,image_0001514_crop_0000007.png,train,defects,image_0001514,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001530_crop_0000009.png,image_0001530_crop_0000009.png,train,defects,image_0001530,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001533_crop_0000003.png,image_0001533_crop_0000003.png,train,defects,image_0001533,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001533_crop_0000004.png,image_0001533_crop_0000004.png,train,defects,image_0001533,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001536_crop_0000004.png,image_0001536_crop_0000004.png,train,defects,image_0001536,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001555_crop_0000014.png,image_0001555_crop_0000014.png,train,defects,image_0001555,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001566_crop_0000020.png,image_0001566_crop_0000020.png,train,defects,image_0001566,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001566_crop_0000021.png,image_0001566_crop_0000021.png,train,defects,image_0001566,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001566_crop_0000023.png,image_0001566_crop_0000023.png,train,defects,image_0001566,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001581_crop_0000012.png,image_0001581_crop_0000012.png,train,defects,image_0001581,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001594_crop_0000002.png,image_0001594_crop_0000002.png,train,defects,image_0001594,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/train/defects/image_0001594_crop_0000005.png,image_0001594_crop_0000005.png,train,defects,image_0001594,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/val/defects/image_0000300_crop_0000001.png,image_0000300_crop_0000001.png,val,defects,image_0000300,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/val/defects/image_0000300_crop_0000002.png,image_0000300_crop_0000002.png,val,defects,image_0000300,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/val/defects/image_0001126_crop_0000002.png,image_0001126_crop_0000002.png,val,defects,image_0001126,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
dataset/codebrim/classification_dataset/val/defects/image_0001159_crop_0000006.png,image_0001159_crop_0000006.png,val,defects,image_0001159,excluded_from_supervised_manifest,all_six_xml_labels_are_zero
